,UID,Site,Country,State,Latitude,Longitude,Lat.Long.source,C14,SD,AMS,Material,Laboratory,Reference,Context,OBS,NEW,C14Cor,bp,optional
1,1,4-MSR,India,Rajasthan,29.201112,73.161537,Google Earth,4065,30,Yes,Seed: Hordeum,GdA-4806,Liu et al. 2017,,Direct date on barley,Yes,4065,4548,TRUE
245,9999,Abu Hureyra,,Syria,35.8667,38.4,,9680,90,,,OxA-1228,,,,,,,
147,9999,Abu Khamis,,Saudi Arabia,27.9,48.7,,5750,65,,,UGa-315,,,,,,,
163,9999,Abu Madi I,,Egypt,28.55,33.97,,10110,100,,charcoal,Pta-2669,,,,,,,
2,2,Adam,India,Maharashtra,20.999473,79.449986,Google Earth,3460,90,No,Charcoal,PRL-1368,IAR92-93,"Chalcolithic culture, Trench S5, Locus Qd 1, Layer 16",Maharashtra Chalco,Yes,NA,3722,TRUE
3,3,Agaibir,India,Uttar Pradesh,24.6,81.85,Google Earth,2866,31,,Seed: Hordeum,D-AMS018161,Liu et al. 2017,,Direct date on barley,Yes,NA,2987,TRUE
106,999,Ahar Ia,India,Uttar Pradesh,24.587243,73.718542,L,4095,95,No,null,V-57,PR2,top,AHAR culture,Yes,NA,4616,TRUE
227,9999,Ain Ghazal,,Jordan,32.0833,36.1,,9200,110,,,GrN-12966,,,,,,,
254,9999,Akarcay Tepe,,Turkey,36.9167,38.0167,,8750,40,,,Beta-138548,,,,,,,
151,9999,Al Qassimiya,,U.A.E.,25.3622,55.3911,,5960,120,,,Ly-3953,,,,,,,
152,9999,al-Madar (Point 69),,U.A.E.,25.5653,55.5533,,5890,170,,,Ly-3280,,,,,,,
168,9999,Ali Kosh,,Iran,32.42,47.25,,9950,190,,,I-1419,,,,,,,
107,999,Allahdino,Pakistan,Sind,24.953012,67.31015,L,4050,50,No,null,P-2296,S2,"Upper levels, Harappan",HARAPPAN,Yes,NA,4536,TRUE
5,5,Apegaon I,India,Maharashtra,19.446382,75.488245,Google Earth,3625,100,No,Charcoal,PRL-384,"PR2, IAR77-78","Chalcolithic, Savalda/Ramatirtha Ware, Trench XII-XVI, Layer 6",Maharashtra Chalco,Yes,NA,3944,TRUE
155,9999,ar-Ramlah 6,,U.A.E.,25.3617,56.0436,,6181,50,,,Bln-4735*,,,,,,,
238,9999,Aray 2,,Syria,35.9167,36.4667,,8290,145,,charcoal,N-5976,,,,,,,
234,9999,Ard Tlaili,,Lebanon,33.9633,36.1572,,6870,130,,charcoal,K-1432,,,,,,,
266,9999,Arukhlo 1,,Georgia,41.4669,44.6944,,7135,70,,,TB-300,,,,,,,
157,9999,Ash-Shumah,,Yemen,14.2808,43.1028,,7770,95,,,GX-13781,,,,,,,
199,9999,Ashkelon,,Israel,31.6667,34.533,,8000,110,,,OxA-7882,,,,,,,
167,9999,Asiab,,Iran,34.3,47.15,,9755,85,,,GrN-6434,,,,,,,
246,9999,Assouad,,Syria,36.95,39.033,,8450,120,,charcoal,MC-864,,,,,,,
237,9999,Aswad,,Syria,33.5882,36.3818,,9730,120,,charcoal,Gif-2633,,,,,,,
203,9999,Atlit-Yam,,Israel,32.75,34.9,,8000,90,,,Pta-3950,,,,,,,
212,9999,Ayn Abu Nukhayla,,Jordan,29.55,35.4,,8509,64,,,,,,,,,,
231,9999,Azraq 31,,Jordan,31.8333,36.8167,,8275,80,,,OxA-2412,,,,,,,
