Latitude,Longitude,Site,Location,Country,Period,Lab Number,C14Age,C14SD
31.9667,35.7333,Bawwab al-Ghazal,Near East,Jordan,PPNB,KN-5454,8273,59
37.4,37.95,Hayaz Höyük,Anatolia,Turkey,PPNB,GrN-12510,8300,60
33.0708,35.1361,Betzet 1,Near East,Israel,PPN,RT-1394,8330,100
35.5833,35.75,Ras Shamra,Near East,Syria,PPNB,P-460,8364,101
35.15,40.4333,Bouqras,Near East,Syria,PPNB,GrN-8262,8380,45
31.5,36.4167,Jilat 7,Near East,Jordan,EPPNB,OxA-2413,8390,80
33.5,48.6667,Guran,Near East,Iran,PPN,K-1006,8410,200
32.3833,35.7333,Sabha,Near East,Jordan,PPNB,TO-3987,8430,70
31.05,35.37,Mezad Mazal,Near East,Israel,PPNB,B-2737,8480,70
29.55,35.4,Ayn Abu Nukhayla,Near East,Jordan,PPNB,,8509,64
35.55,44.95,Jarmo,Near East,Iraq,PPN,H-551/-491,8525,175
37.55,38.567,Gritille,Anatolia,Turkey,PPNB,Beta-13216,8610,90
36.4167,38.1667,Halula,Near East,Syria,PPNB,Beta-58928,8700,60
31,34.8,Reu'el,Near East,Israel,PPNB,Pta-3137,8720,70
36.9167,38.0167,Akarcay Tepe,Anatolia,Turkey,PPN,Beta-138548,8750,40
31.1417,35.3722,Hemar,Near East,Israel,PPNB,Pta-3625,8850,90
32.6937,35.3114,Yiftahel,Near East,Israel,PPNB,Pta-4242,8870,90
30.8333,34.7833,Divshon,Near East,Israel,PPNB,SMU-3,8900,180
38.46,38.78,Cafer Höyük,Anatolia,Turkey,EPPNB,Ly-4437,8950,80
38.833,47.833,Ganj Dareh,Near East,Iran,PPN,SI-4741,8950,70
30.37,35.43,Beidha,Near East,Jordan,PPNB,GrN-5062,9030,50
31.6,34.7833,Iraq el-Barud,Near East,Israel,PPNB,Hv-3368,9120,85
37.5833,38.65,Nevali Cori,Anatolia,Turkey,PPNB,OxA-8303,9280,55
38.4833,37.4167,Mezraa Teleilat,Anatolia,Turkey,PPN,AA-49102,9324,59
33.05,35.25,Horvat Galil,Near East,Israel,PPNB,RT-1397,9340,70
36.5,38.3,Dja'de,Near East,Syria,EPPNB,Ly-8842,9370,75
35.8136,53.8989,Hotu,Near East,Iran,PPN,L-182,9500,200
37.2167,38.9167,Göbekli,Anatolia,Turkey,PPNB,Hd-20036,9559,53
35.8667,38.4,Abu Hureyra,Near East,Syria,PPNB,OxA-1228,9680,90
33.6667,49.6333,Chagha Sefid,Near East,Iran,PPN,UCLA-295,9690,100
36.3958,41.7936,Qermez Dere,Near East,Iraq,PPN,OxA-3755,9710,85
33.5882,36.3818,Aswad,Near East,Syria,PPNA,Gif-2633,9730,120
34.3,47.15,Asiab,Near East,Iran,PPN,GrN-6434,9755,85
31.88,35.45,Jericho,Near East,Israel,PPNA,P-378,9775,110
32.1558,34.9528,Gilgal,Near East,Israel,PPNA,Pta-4588,9920,70
32.42,47.25,Ali Kosh,Near East,Iran,PPN,I-1419,9950,190
31.09,35.64,Iraq ed-Dubb,Near East,Jordan,PPNA,OxA-2567,9950,100
36.4,38.2,Jerf el Ahmar,Near East,Syria,PPNA,Ly-10651,9965,55
32,35.42,Netiv Hagdud,Near East,Israel,PPNA,RT-762C,9970,150
32.62,35.5511,Gesher,Near East,Israel,PPNA,Pta-4553,10020,100
35.4681,44.3922,Shimshara,Near East,Iraq,PPN,K-981,10030,160
31.25,35.567,Dhra,Near East,Jordan,PPNA,AA-38142,10059,73
36.72,42.88,Nemrik 9,Near East,Iraq,PPNA,GD-6148,10070,120
28.55,33.97,Abu Madi I,Near East,Egypt,PPNA,Pta-2669,10110,100
31.7833,35.15,Hatoula,Near East,Israel,PPNA,GifA-91139,10170,120
36.05,38.2,Mureybet,Near East,Syria,PPNA,P-1217,10215,117
30.6256,35.4453,Wadi Faynan 16,Near East,Jordan,PPNA,Beta-120210,10220,60
38.23,39.65,Cayönü,Anatolia,Turkey,PPNA,GrN-8103,10430,80
38.31,41.27,Hallan Cemi Tepsi,Anatolia,Turkey,PPNA,BETA-55052,10590,170
